year,day_in_week,Open,High,Low,Close,Volume
2009,1,2.0286299999999997,2.06142,2.0232099999999997,2.05943,33115.6016
2009,2,2.05819,2.0786700000000002,2.0268599999999997,2.0693599999999996,33084.8984
2009,3,2.0693799999999998,2.1301400000000004,2.05113,2.12138,33096.0
2009,4,2.12006,2.17922,2.11706,2.13778,33103.8984
2009,5,2.13778,2.1675299999999997,2.13256,2.159,32169.9004
2009,1,2.15694,2.18695,2.15289,2.18055,33087.8984
2009,2,2.18102,2.20202,2.17156,2.1741599999999996,33113.0
2009,3,2.1741200000000003,2.214,2.1438200000000003,2.1985799999999998,33129.3984
2009,4,2.19833,2.2292799999999997,2.1887,2.1987200000000002,33108.8984
2009,5,2.19886,2.22224,2.18174,2.19137,31860.9004
2009,1,2.18867,2.19117,2.14918,2.16077,33137.8984
2009,2,2.16082,2.16527,2.0971,2.13689,33103.1992
2009,3,2.13634,2.14132,2.09444,2.1068700000000002,33123.1016
2009,4,2.10607,2.12751,2.09193,2.11899,33131.3008
2009,5,2.11923,2.12664,2.08807,2.10785,31756.0
2009,1,2.08615,2.12551,2.07385,2.10914,33102.6016
2009,2,2.10891,2.14899,2.10453,2.13432,33111.5
2009,3,2.13367,2.14933,2.12704,2.13753,33102.1016
2009,4,2.13734,2.19849,2.13481,2.19584,33122.8984
2009,5,2.19561,2.2893,2.1927,2.28253,32247.8008
2009,1,2.26261,2.28133,2.23503,2.25184,33091.8984
2009,2,2.2526200000000003,2.25316,2.20421,2.22313,33128.8008
2009,3,2.22287,2.2591200000000002,2.21145,2.24874,33100.1992
2009,4,2.24844,2.26447,2.2210099999999997,2.2436700000000003,33118.1992
2009,5,2.24345,2.2526200000000003,2.17711,2.18863,31832.5
2009,1,2.19912,2.21906,2.18085,2.20034,33109.6016
2009,2,2.2006799999999997,2.23181,2.1823,2.2158599999999997,33118.6992
2009,3,2.2145099999999998,2.2224,2.18407,2.19506,33091.1016
2009,4,2.1959,2.2048099999999997,2.17351,2.17433,33118.8008
2009,5,2.17372,2.20464,2.17362,2.1855700000000002,31729.0
2009,1,2.1801,2.2019900000000003,2.17734,2.18894,33080.6992
2009,2,2.18828,2.24586,2.18688,2.2345,33132.6016
2009,3,2.23445,2.23908,2.20589,2.22835,33097.0
2009,4,2.22802,2.22952,2.2040599999999997,2.2112700000000003,33127.5
2009,5,2.2111099999999997,2.24335,2.20761,2.2349,32222.0996
2009,1,2.23054,2.26352,2.22119,2.2554,33134.6992
2009,2,2.25507,2.26377,2.2189099999999997,2.22586,33127.5
2009,3,2.2265599999999997,2.2391799999999997,2.18835,2.19647,33119.6016
2009,4,2.1962599999999997,2.21325,2.18705,2.20948,33123.6016
2009,5,2.20898,2.24198,2.20516,2.2405,31768.9004
2009,1,2.23958,2.25461,2.2107200000000002,2.22938,33142.8008
2009,2,2.22916,2.23048,2.17848,2.1991,33125.1016
2009,3,2.19895,2.2242900000000003,2.16871,2.19076,33127.8008
2009,4,2.19056,2.21864,2.18273,2.21069,33113.3008
2009,5,2.2106,2.23144,2.1926200000000002,2.19995,31762.0
2009,1,2.20142,2.20825,2.16814,2.1724,33118.1016
2009,2,2.17263,2.17551,2.12247,2.12754,33122.3984
2009,3,2.12719,2.14338,2.11127,2.13428,33137.5
2009,4,2.1352599999999997,2.1497900000000003,2.12012,2.1279,33112.5
2009,5,2.12799,2.1355299999999997,2.11872,2.12695,31536.0
2009,1,2.12557,2.14889,2.12283,2.13331,33115.5
2009,2,2.13288,2.13888,2.1162400000000003,2.12026,33084.8008
2009,3,2.12003,2.12837,2.0906700000000003,2.10498,33100.8008
2009,4,2.10462,2.1179099999999997,2.09622,2.10613,33090.6016
2009,5,2.10636,2.1111299999999997,2.0867299999999998,2.10387,31028.4004
2009,1,2.0937799999999998,2.0960799999999997,2.06184,2.06873,33109.3984
2009,2,2.0677,2.11383,2.06648,2.10186,33098.0
2009,3,2.10226,2.1165700000000003,2.07065,2.0813099999999998,33098.5
2009,4,2.08121,2.08879,2.05461,2.05901,33093.1016
2009,5,2.05898,2.08607,2.05287,2.06185,31132.0996
2009,1,2.06766,2.09971,2.06325,2.09468,33105.1992
2009,2,2.0946,2.0964,2.05686,2.07314,33100.6016
2009,3,2.07384,2.08739,2.06311,2.07115,33106.5
2009,4,2.07115,2.07254,2.04599,2.04765,33091.8984
2009,5,2.04698,2.09548,2.04144,2.07465,31605.3008
2009,1,2.0737799999999997,2.0941799999999997,2.06412,2.07307,33090.1016
2009,2,2.0719,2.07675,2.0525900000000004,2.06829,33052.8984
2009,3,2.0683,2.08298,2.0627400000000002,2.0725599999999997,33074.3008
2009,4,2.07259,2.07868,2.0329200000000003,2.03526,32965.0
2009,5,2.0352900000000003,2.04062,2.0314200000000002,2.0380700000000003,30218.4004
2009,1,2.02408,2.03808,2.02274,2.02936,33029.6992
2009,2,2.02995,2.067,2.02952,2.06109,33115.8984
2009,3,2.06054,2.08318,2.05537,2.0601599999999998,33113.3008
2009,4,2.0603599999999997,2.08263,2.05639,2.07178,33116.1016
2009,5,2.0722,2.07254,2.04383,2.04725,31574.8008
2009,1,2.05111,2.08957,2.04332,2.07564,33096.8984
2009,2,2.07578,2.08851,2.0579400000000003,2.07405,33087.0
2009,3,2.07435,2.07885,2.0352799999999998,2.05208,33082.8984
2009,4,2.05081,2.06357,2.03485,2.0604,33102.8008
2009,5,2.06029,2.06164,2.02488,2.02867,31104.5996
2009,1,2.04183,2.06973,2.0302700000000002,2.06832,33094.6992
2009,2,2.06847,2.08632,2.06137,2.06969,33074.8008
2009,3,2.06961,2.06987,2.02425,2.03538,33066.3984
2009,4,2.03537,2.04333,2.00842,2.03003,33074.1016
2009,5,2.02941,2.04874,2.0225400000000002,2.03415,31513.5
2009,1,2.0349,2.03872,2.02058,2.02601,33054.3984
2009,2,2.02647,2.03855,2.0208,2.03546,33047.3008
2009,3,2.0354200000000002,2.04374,2.01208,2.02136,33045.0
2009,4,2.0215099999999997,2.02383,1.97515,1.9888599999999999,33074.6992
2009,5,1.9891,1.9938799999999999,1.96879,1.9808700000000001,31031.4004
2009,1,1.9782,1.99553,1.97507,1.9902900000000001,33027.3984
2009,2,1.9909700000000001,2.0056599999999998,1.98538,1.99121,33028.8984
2009,3,1.99085,2.01638,1.9803099999999998,2.00657,33024.0
2009,4,2.00618,2.01936,1.99868,2.0053900000000002,33034.3008
2009,5,2.00545,2.027,2.00161,2.02545,31448.6992
2009,1,2.02693,2.03018,1.99964,2.00483,32987.0
2009,2,2.00502,2.0081700000000002,1.99291,1.99937,32979.5
2009,3,1.99938,2.03546,1.99442,2.03301,33029.3008
2009,4,2.03336,2.04406,2.01733,2.03559,32993.8984
2009,5,2.03525,2.03958,2.02143,2.02372,30963.5996
2009,1,2.0312099999999997,2.04146,2.02914,2.0373900000000003,32876.5
2009,2,2.0372,2.05133,2.02015,2.02618,33006.1016
2009,3,2.02608,2.05937,2.02608,2.0487,33021.8984
2009,4,2.04847,2.05068,2.0259,2.0298,33031.6016
2009,5,2.02988,2.03162,2.0104599999999997,2.01842,31537.6992
2009,1,2.0223,2.0342,2.0091799999999997,2.0283,32998.3984
2009,2,2.0287,2.0355,2.01238,2.0211099999999997,32972.0
2009,3,2.02173,2.04743,2.009,2.03151,32960.5
2009,4,2.0310200000000003,2.04579,2.00929,2.01323,32960.3008
2009,5,2.01341,2.016,1.98758,2.01527,31014.9004
2009,1,2.0073,2.04042,1.99495,2.03116,32936.0
2009,2,2.03039,2.04028,2.02583,2.03583,32901.1992
2009,3,2.0361,2.0411799999999998,2.01463,2.03669,32946.8008
2009,4,2.03654,2.03657,2.01365,2.02256,32942.3984
2009,5,2.0225299999999997,2.0341299999999998,2.01661,2.02035,31435.6992
2009,1,2.03055,2.05658,2.02425,2.04737,32888.1016
2009,2,2.04737,2.07628,2.0444,2.0754900000000003,32886.6016
2009,3,2.0757,2.07623,2.05105,2.06134,32888.6016
2009,4,2.0607900000000003,2.06554,2.03396,2.0449,32880.3984
2009,5,2.0447,2.05059,2.0305,2.04917,30862.3008
2009,1,2.05355,2.0865,2.05171,2.08219,32878.0
2009,2,2.08192,2.0851900000000003,2.06331,2.06867,32897.0
2009,3,2.06887,2.07249,2.04794,2.06135,32871.6016
2009,4,2.0615,2.0627400000000002,2.0346599999999997,2.03979,33026.1992
2009,5,2.03959,2.0509,2.0314900000000002,2.04922,30897.8008
2009,1,2.04546,2.06025,2.0434400000000004,2.04613,32845.3984
2009,2,2.0459,2.05749,2.03492,2.0415799999999997,32899.8984
2009,3,2.0415,2.04399,2.03456,2.03816,32887.3008
2009,4,2.03818,2.068,2.03262,2.061,32901.6016
2009,5,2.06102,2.063,2.04135,2.04935,31260.1992
2009,1,2.05018,2.05483,2.0375900000000002,2.0425299999999997,32884.8008
2009,2,2.0423,2.04679,2.0197599999999998,2.04332,32894.8008
2009,3,2.04292,2.0716099999999997,2.03934,2.0623299999999998,32898.6016
2009,4,2.06199,2.08948,2.0567,2.0813099999999998,32877.8008
2009,5,2.08129,2.09712,2.07661,2.08005,31384.5
2009,1,2.0735099999999997,2.08467,2.06949,2.0754,32846.3008
2009,2,2.07534,2.0794599999999996,2.05179,2.05481,32879.6992
2009,3,2.05515,2.06019,2.03953,2.04815,32883.6016
2009,4,2.04805,2.0546599999999997,2.03445,2.04251,32857.5
2009,5,2.04243,2.04902,2.03172,2.03567,30880.0996
2009,1,2.0344700000000002,2.03633,2.023,2.02967,32812.1992
2009,2,2.0297,2.03328,2.00999,2.01347,32814.3984
2009,3,2.0132,2.0205599999999997,2.002,2.01674,32787.1016
2009,4,2.0163900000000003,2.03059,2.01035,2.02561,32787.8008
2009,5,2.02562,2.02756,2.0025,2.00785,31330.8008
2009,1,2.0107,2.01165,1.9946599999999999,2.00493,32752.9004
2009,2,2.00405,2.00635,1.9813900000000002,1.9909400000000002,32825.8984
2009,3,1.9905700000000002,2.01229,1.9866700000000002,2.00525,32781.0
2009,4,2.00474,2.00936,1.99101,2.00033,32805.5
2009,5,2.0002400000000002,2.00802,1.9926700000000002,1.99765,31248.3008
2009,1,1.99852,2.01638,1.9955900000000002,2.00851,32746.9004
2009,2,2.00875,2.01842,2.00203,2.00664,32693.9004
2009,3,2.00636,2.02623,2.00452,2.02042,32700.4004
2009,4,2.02069,2.02088,1.9950400000000001,1.99951,32660.5996
2009,5,1.9986700000000002,2.0051799999999997,1.9880400000000003,1.99395,30696.9004
2009,1,1.99318,1.99377,1.96392,1.9693599999999998,32655.0
2009,2,1.96963,1.9902099999999998,1.9625299999999999,1.987,32701.5996
2009,3,1.9869599999999998,2.00579,1.9730900000000002,1.9787700000000001,32684.4004
2009,4,1.97872,1.98038,1.9625,1.9651599999999998,32709.6992
2009,5,1.96514,1.9917900000000002,1.95807,1.98517,30700.0
2009,1,1.9847099999999998,2.00224,1.98038,1.9857200000000002,32606.5
2009,2,1.98532,2.00946,1.9817900000000002,1.9993400000000001,32622.0996
2009,3,1.99931,2.0091900000000003,1.99079,1.99368,32573.0996
2009,4,1.9938099999999999,1.99458,1.98145,1.9836,32621.5996
2009,5,1.9837099999999999,1.9985700000000002,1.97365,1.97715,31112.6992
2009,1,1.9690599999999998,1.97098,1.9508299999999998,1.9589400000000001,32463.0996
2009,2,1.9589400000000001,1.96364,1.94849,1.95738,32534.3008
2009,3,1.95745,1.96347,1.9472900000000002,1.96117,32495.4004
2009,4,1.9610400000000001,1.9678200000000001,1.9345299999999999,1.9375200000000001,32546.0
2009,5,1.93747,1.94094,1.92845,1.9301700000000002,30526.0
2009,1,1.93182,1.94218,1.9244,1.9321,32192.0996
2009,2,1.93212,1.95745,1.9261,1.9527700000000001,32291.5
2009,3,1.95297,1.95563,1.93887,1.9501099999999998,32179.1992
2009,4,1.94976,1.95328,1.9408599999999998,1.9443,32176.8008
2009,5,1.94392,1.9468900000000002,1.9217799999999998,1.92555,30597.5996
2009,1,1.92367,1.9259,1.90603,1.91025,31713.6992
2009,2,1.9096799999999998,1.9202,1.90625,1.91242,36295.0
2009,3,1.91218,1.92435,1.90871,1.91782,36268.0
2009,4,1.91809,1.9418799999999998,1.91488,1.9304299999999999,36257.5
2009,5,1.93015,1.93787,1.92599,1.92777,34200.3984
